,@EswatiniGovern1,@MalawiGovt,@hagegeingob,@FinanceSC,@PresidencyZA,@mohzambia,@edmnangagwa,@MinSantedj,@hawelti,@StateHouseKenya,@PaulKagame,@M_Farmaajo,@SouthSudanGov,@SudanPMHamdok,@TZSpokesperson,@KagutaMuseveni,@angola_Mirex,@willynyamitwe,@Cherif_MZ,@Presidence_RDC,@PresidentABO,@PresidenceBenin,@rochkaborepf,@PresidenciaCV,@AOuattara_PRCI,@Presidency_GMB,@NAkufoAddo,@President_GN,@USEmbalo,@PresidenceMali,@CheikhGhazouani,@IssoufouMhm,@MBuhari,@Macky_Sall,@PresidentBio,@MSPS_Togo
0,COVID19,MalawiCabinet,ZindziMandela,COVID19,NelsonMandelaInternationalDay,COVID19,4thOfJuly,COVID19,Eritrea,Covid19,AfricaDay,Somalia,Kiir,TogetherWithSudan,TanzaniaUnforgettable,WorldPopulationDay2020,CyrilRamaphosa,Burundi,Chad,RDC,Education,Wasexo,BurkinaFaso,prevençãocovid19,ConseilDesMinistresCI,Covid19Gambia,GovtThisWeek,COVID19,Portugal,ORTM,,ZLECAf,DemocracyDay2020,ConseildesMinistresSn,SierraLeone,BigData
1,COVID19,MalawiCabinet,DRC,FA4JR,NelsonMandelaInternationalDay,COVID19,AfricaDay2020,Hackathon,Eritrea,Covid_19,EidMubarak,COVID19,Covid19ss,السودان,MagufuliAddress,Jinja,AGNU73,Burundi,UNGA,CitéUA,Gabon,IndependanceBenin,BurkinaFaso,Morna,ConseilDesMinistresCI,gambia,4MoreToDoMoreForYou,Guinea,Guiné,Urgent,,13Mai,PTFCOVID19,ConseildesMinistresSn,SierraLeone,esanté
2,COVID19,MalawiCabinet,HappyFathersDay2020,COVID19,NelsonMandelaInternationalDay,COVID19,mothersday2020,France,Eritrea,JukumuniSisi,COVID19,Somalia,AUMISS,سنصمد_سنعبر_سننتصر,MagufuliAddress,Arua,NewYork,Burundi,AskDag,RDC,Gabon,Ptbenin,Lwili,visitapapa,StopCoronavirus,Gambia,GovtThisWeek,Fêtedutravail,CEDEAO,ORTM,,UAE,COVID19,ConseildesMinistresSn,COVID19,sante
3,COVID19,MalawiCabinet,Periscope,FA4JR,NelsonMandelaInternationalDay,ParentingMonth,COVID19,Djibouti,Eritrea,KomeshaCorona,COVID19,COVID19,SRCC,حوار_رئيس_مجلس_الوزراء,MagufuliAddress,Gulu,Angola,Brazzaville,UNGA72,RDC,CEEAC,Wasexo,Mauritanie,caboverdepapa,COVID19CI,Gambia,4MoreToDoMoreForYou,Guinée,Guiné,Urgent,,EAU,COVID19,ConseildesMinistresSn,DPGAlliance,Lassa
4,COVID19,MalawiCabinet,NamSONA2020,COVID19,NelsonMandelaInternationalDay,COVID19,COVID19,France,Eritrea,COVIDー19,CoronaVirus,CoronavirusPandemic,Biswaro,سنصمد_سنعبر_سننتصر,PresidentAddress,Masaka,Uruguai,RDCongo,AfricaDay2017,RDC,Gabon,ConseilDesMinistres,G5Sahel,papaemcaboverde2020,Covid19,Turkish,RegisterToVote2020,Ramadan,Sénégal,Mali,,1erMai,COVID19,IGE,SierraLeone,Togo
5,COVID19,MalawiCabinet,NamSONA2020,FA4JR,NelsonMandelaInternationalDay,COVID19,NationalCommandCouncil,Djibouti,Eritrea,JukumuniSisi,SafeHands,Norway,SSOT,حوار_رئيس_مجلس_الوزراء,TanzaniaUpdates,FortPortal,Russia,COUSP,AUC,CitéUA,Covid19,ConseilDesMinistres,BurkinaFaso,CaboVerde,COVID19,Gambia,4MoreToDoMoreForYou,Ramadan,Covid_19,Mali,,Niger,PTFCOVID19,diaspora,BudapestBamako,santé
6,COVID19,IndependenceDay,NamSONA2020,COVID19,Presidentialimbizo,WHA73,FélixTshisekedi,Djibouti,Teleferica,CoronaVirus,COVID19,Canada,goodrelations,سنصمد_سنعبر_سننتصر,MagufuliAddress,Mbarara,Angola,Burundi,SouthSudan,RDC,environnement,Prbenin,G5Sahel,NuStaDjuntu,StopCoronavirus,police,RegisterToVote2020,Guinée,Covid_19,IBK,,GlobalVaccine,Coronavirus,Covid19sn,COVID19,Team228
7,COVID19,Malawi,AU,FA4JR,PresidentialImbizo,EPICENTER,COVID19,COVID19,Italians,KomeshaCorona,COVID19,الانتخابات_التونسية,SouthSudan,حوار_رئيس_مجلس_الوزراء,MagufuliAddress,Mbale,World,Burundi,AFP,CitéUA,laboratoire,digitalisation,G5Sahel,AUEU,COVID19,Gambia,4MoreToDoMoreForYou,coronavirus,CoronaPandemie,Urgent,,COVID19,PTFCOVID19,ConseildesMinistresSn,SierraLeone,TgInfo
8,COVID19,InaugurationMalawi2020,AfricaDay,COVID19,PresidentialImbizo,COVID,ZimLockdown,COVID19,Eritrea,KomeshaCorona,COVID19,Somalia,UnitedNations,حوار_رئيس_مجلس_الوزراء,TanzaniaUpdates,COVID19,UN,Blessedtobless,Trump,RDC,Covid19,Benin,G5Sahel,menosalcoolcoolmaisvida,ConseilPresidentiel,Covid19,RegisterToVote2020,Coronavirus,GuineaBissau,Mali,,CEDEAO,thread,ConseildesMinistresSn,coronavirus,Santé
9,COVID19,InaugurationMalawi2020,Agenda2063,FA4JR,ZindziMandela,Zambia,COVID19,COVID19,Eritrea,Coronavirus,COVID19,Somalia,SouthSudan,سنصمد_سنعبر_سننتصر,MagufuliAdress,InternationalWorkersDay,Angola,Burundi,Prevention,RDC,UA,MS,France,lermaissabermais,ConseilPresidentiel,COVID19Gambia,4MoreToDoMoreForYou,coronavirus,AsoVillaToday,Mali,,G5Sahel,30yearsweddinganniversary,ConseildesMinistresSn,COVID,OMS
10,COVID19,InaugurationMalawi2020,EidalFitr2020,COVID19,COVID19,COVID19,SADC,Restezvigilants,Eritrea,WorldEnvironmentDay2020,COVID19,OceanStars,EAC,حوار_رئيس_مجلس_الوزراء,COVIDー19,M7Address,SaudiArabia,Burundi,Irak,PalaisdelaNation,RamadanMubarak,BenjaminHOUNKPATIN,BurkinaFaso,menosalcoolmaisvida,COVID19CI,StopCovid19,RegisterToVote2020,JourneeMondialedelaSanté,Abuja,Mali,,UE,ThanksbetoALLAH,nicolassarkozy,SierraLeone,concours
11,COVID19,InaugurationMalawi2020,AfricaDay,FA4JR,coronavirus,Coronavirus,ARFSD2020,COVID19,Eritreans,Covid19,COVID19,OceanStars,EAC,سنصمد_سنعبر_سننتصر,CoronavirusPandemic,COVID19UG,Portugal,BurundiSport,28thAUsummit,RDC,Gabon,MS,G5Sahel,BuildingSupport,COVID19CI,WearMask,4MoreToDoMoreForYou,Guinée,Nigeria,Urgent,,G5Sahel,EACBrief,ConseilDesMinistresSn,COVID,ESSAL
12,COVID19,InaugurationMalawi2020,HappyBirthdayFoundingFather,FA4JR,EveryWomanEveryChild,Zambia,SportTourism,COVID19,Eritrea,OACPSSummit,ADSW,Japan,COVID19SS,حوار_رئيس_مجلس_الوزراء,CoronavirusPandemic,COVID19,Angola,Burundi,kebetu,CitéUA,Gabon,PrBenin,PNDRP,CaboVerde,StopCoronavirus,Gambia,RegisterToVote2020,Covid19,GuinéeBissau,Covid_19,,UEMOA,NES25,ConseilDesMinistresSn,Social,tginfo
13,COVID19,InaugurationMalawi2020,HappyBirthdayFoundingFather,COVID19,COVID19,SafeHandsChallenge,Zimbabwe,WHA73,ጥንታዊ,MadarakaDay,ConnectRwanda,TICAD7,AU,سنصمد_سنعبر_سننتصر,coronavirus,Uganda,Angola,Burundi,Mali,RDC,COVID19,PatriceTALON,Burkina,BuildingSupport,StopCoronavirus,Covid19,RegisterToVote2020,Guinée,Niamey,Covid_19,,Niger,Thread,ConseilDesMinistresSn,SierraLeoneans,team228
14,COVID19,Malawi,COVID19,FA4JR,coronavirus,StayAtHome,HDR2019,COVID19,Debre,MadarakaDay,ConnectRwanda,Somalia,SouthSudan,حوار_رئيس_مجلس_الوزراء,CoronaVirus,OuT,DRC,Chine,Chad,CitéUA,Pâques,PrCi,BurkinaFaso,ICC,COVID19CI,StopCOVID19,4MoreToDoMoreForYou,,Bissau,AidAlFitr,,Ramadan,AfCFTA,ConseilDesMinistresSn,SierraLeoneans,lomé
15,COVID19,InaugurationMalawi2020,mothersday2020,CentralBankofSeychelles,COVID19,COVID,EliminationOfViolenceAgainstWomen,Djibouti,Oromo,Punchline,EDD19,TICAD7,COVID19,سنصمد_سنعبر_سننتصر,Tanzania,StayHome,Angola,Burundi,ObamaFarewell,RDC,Gabon,CORONAVIRUS,BurkinaFaso,FatouBensouda,StopCoronavirus,Gambia,RegisterToVote2020,,Niamey,Covid_19,,covid19,AfCFTA,ConseilDesMinistresSn,lockdown,santé
16,COVID19,InaugurationMalawi2020,CassingaDay,PrivateSectorReliefScheme,coronavirus,WORLDTBDAY,Zimbabwe,COVID19,HaacaaluuHundeessaa,OACPSSummit2020,NBAFinals,TICAD7,C19,حوار_رئيس_مجلس_الوزراء,SADCInDar,STAYSAFEUG,IRENA,Francophonie,ObamaFarewell,PalaisdelaNation,Gabon,ConseilDesMinistres,BurkinaFaso,CaboVerde,COVID19CI,StopCovid19,4MoreToDoMoreForYou,,Sénégal,Urgent,,CEDEAO,IWD2019,MessageNationSn,SierraLeone,
17,COVID19,Malawi,WorldPressFreedomDay,COVID19,RIPQueenNoloyiso,SayNoToFakeNews,StrongerTogether,COVID19DJ,Eritrea,COVID__19,AccidentalPresidents,Sudan,HLTF,سنصمد_سنعبر_سننتصر,SADCINDAR,COVID,Singapore,Paris,Chad,RDC,Gabon,Prbenin,Lwili,CaboVerde,StopCoronavirus,COVID19Gambia,4MoreToDoMoreForYou,,GuineaBissau,fetedutravail,,Covid19,NigeriaDecides,MessageNationSn,Coronavirus,
18,COVID19,InaugurationMalawi2020,4IR,FA4JR,AmaRharhabe,SafeHands,RWCFinal,COVID19,Eritrea,OACPSSummit2020,AUSummit,Somalia,COVID19SS,حوار_رئيس_مجلس_الوزراء,39SADCSUMMIT,COVID,Angola,Burundi,MjadalaAfrika,PalaisdelaNation,Coronavirus,ConseilDesMinistres,BurkinaFaso,TPI,COVID19CI,Gambia,RegisterToVote2020,,Bissau,COVID__19,,COVID19,AWCON18,MessageNationSn,coronavirus,
19,COVID19,COVID19,MayDay2020,COVID19,COVID19,COVID19,StepUpTheFight,COVID19DJ,Eritrea,COVID19,doingbusiness,Rwanda,COVID19,سنصمد_سنعبر_سننتصر,39SADCSummit,COVID,SADC,France,Chad,RDC,COVID19,Wasexo,Djibo,BuildingSupport,Covid19,COVID19Gambia,4MoreToDoMoreForYou,,GuinéeBissau,IBK,,Niger,ICYMI,MessageNationSN,coronavirus,
20,COVID19,InaugurationMalawi2020,WorkersDay2020,FA4JR,COVID19,SafeHands,Zimbabwe,DJIBOUTI,Eritrea,COVID19,GenUnlimited,Somalia,COVID19SS,حوار_رئيس_مجلس_الوزراء,SADInDar,COVIDー19,Cuba,Burundi,AU,Indépendance,Gabon,Prbenin,Djibo,CaboVerde,Covid19,DidYouKnow,RegisterToVote2020,,GuineaBissau,IBK,,Ethiopia,AsoVillaWeekly,ConseildesministresSn,Coronavirus,
21,COVID19,Malawi,COVID__19,FA4JR,COVID19,SafeHandsChallenge,UNGA,COVID19DJ,development,KomeshaCorona,MeetThePresident,Cuba,COVID19,سنصمد_سنعبر_سننتصر,TUMETOKAMBALI,Covid,Angola,Burundi,Chad,RDC,enfants,ConseilDesMinistres,Djibo,ICC,ConseilDesMinistresCI,COVID19Gambia,4MoreToDoMoreForYou,,Bissau,Covid_19,,Ethiopie,NigeriaAt58,ConseildesministresSn,SierraLeone,
22,COVID19,IndependenceDay,COVID19,FA4JR,PresidentialImbizo,COVIDー19,SADC,COVID19,Massawa,KomeshaCorona,EidMubarak,Somalia,COVID19SS,عيد_مبارك,TUMETOKAMBALI,COVID,Angola,Burundi,Iran,Independance60ans,Gabon,Wasexo,Soum,BuildingSupport,Covid19,COVID19Gambia,RegisterToVote2020,,Guinée,BurkinaFaso,,Niamey,APCNationalConvention,ConseildesministresSn,ukafricainvestmentsummit2020,
23,COVID19,MalawiInauguration2020,freedomday2020,COVID19,PresidentialImbizo,handwashing,Zimbabwe,COVID19DJ,Eritrea,KomeshaCorona,Rwanda,Christchurch,StaySafeStayHome,اليوم_العالمي_لحرية_الصحافة,SADCInDar,COVID19UG,Luanda,Burundi,Russia,RDC,CEEAC,Gouvbenin,BurkinaFaso,AGNU,UEMOA,Covid19gambia,RegisterToVote2020,,Bissau,IBK,,Coronavirus,UNGA,ConseildesministresSn,sierraleone,
24,COVID19,56thIndependence,COVID19,FA4JR,Ramaphosa,COVIDー19,ZimbabweHeroes,chatbot,Eritrea,COVID19,Rwanda,Africa,COVID19SS,اليوم_العالمي_للعمال,SIW,COVID19,Angola,Burundi,27thAUSummit,RDC,Gabon,ConseilDesMinistres,Lwili,CaboVerde,COVID19,StopCOVID19,RegisterToVote2020,,investiture,Ramadan2020,,Niger,UNGA,IADA,SDGs,
25,COVID19,COVID19,RamadanMubarak,COVID19,Ramaphosa,COVID19,ZimbabweYouth,WhatsApp,ቅርጺ,KomeshaCorona,Africa,Kampala,MoH,رمضان_كريم,SADCSUMMIT2019,COVID19,Madagascar,Burundi,Kigali,CitéUA,Unioneuropéenne,Prbenin,BurkinaFaso,ICC,UEMOA,OACPSSummit2020,RegisterToVote2020,,guineabissau,Legislatives2020,,CEDEAO,Thread,ConseilDesMinistresSn,SierraLeone,
26,COVID19,PresidentSpecialAddress,EarthDay2020,FA4JR,Ramaphosa,69th_HMC,Zimbabwe,CoronaVirus,Steam,KomeshaCorona,EidMubarak,ET302,SouthSudan,تصريح_صحفي,SADCInDar,nationalprayers,Filippo,IndependenceDay,MINUSCA,RDC,GE2019,Covid19,COVID19,UNGA,Covid19,OACPS,RegisterToVote2020,,Srilanka,IBK,,8MARS2020,PMBAtUNGA18,ConseilDesMinistresSn,SierraLeone,
27,COVID19,MALAWI,SWAPOat60,FA4JR,coronavirus,Responsive_Caregiving_for_Early_Childhood_Development,Gems,COVID19,Asmara,KomeshaCorona,Syria,Somalia,COVID19,القومه_للسودان,DestinationTanzania,NationalPrayers,Zeid,Burundi,RCA,RDC,COP25,CORONAVIRUS,BurkinaFaso,CaboVerde,Covid19,Gambia,4More4Nana,,GuineaBissau,Legislatives2020,,Niger,NigeriaAtUNGA18,ConseilDesMinistresSn,SierraLeone,
28,COVID19,SADC,SWAP0at60,COVID19,Ramaphosa,FactsNotFear,GoGemsGo,Djibouti,Asmara,KomeshaCorona,Rwanda,Nigeria,EAC,القومة_للسودان,TUELEWANE,StateHouseUganda,Tedros,Burundi,enfants,RDC,Gabon,Covid19bj,Lwili,CaboVerde,Covid19,Gambia,GeorgeFloyd,,Bissau,Legislatives2020,,Arbinda,FOCAC,ConseilDesMinistresSn,SierraLeone,
29,HIV,Malawi,Zimbabwe,FA4JR,Mpumalanga,Zimbabwe,ThisIsNetball,Djibouti,Eclipse,KomeshaCorona,Umushyikirano,Kenya,COVI19,StandForSudan,HapaKaziTu,COVID19UG,Cyril,BurundiAt58,SouthSudan,CitéUA,CEEAC,AskGouvBenin,Allemagne,CaboVerde,Covid19,coronavirus,JusticeForGeorgeFloyd,,southafrica,IBK,,Noël,PMBinTheHague,Covid19,PresidentMuseveni,
30,HIV,Malawi,COVID19,COVID19,Ramaphosa,Africa,NWC2019,COVID19DJ,Asmara,KomeshaCorona,Rwanda,Nairobi,COVID19,القومه_للسودان,ProfKabudInLondon,COVIDー19,Angola,Burundi,Mali,RDC,Gabon,Covid19bj,GVS2020,CaboVerde,CEDEAO,COVID19,EidMubarak,,bissau,Legislatives2020,,Niger,SecuringNC,ConseildesministresSn,RegionalMaritimeUniversity,
31,Eswatini,Malawi,COVID19,COVID19,Ramaphosa,COVID19,Zimbabwe,COVID19DJ,Eritrea,KomeshaCorona,EidMubarak,Mogadishu,Burundi,StandForSudan,ProfKabudInLondon,Luanda,,Washington,PKDay,RDC,COP25,DutyFree,GVS2020,TPI,Covid19,COVID,AnidasuoNoAba,,Cooperation,Covid_19,,Niger,Budget2018,ConseildesministresSn,SierraLeone,
32,COVID19,PresidentialSwearingIn,COVID19,FA4JR,COVID19,HIV,Gems,COVID19DJ,Eritrea,Coronavirus,SGRLaunch,Somalia,EAC,القومه_للسودان,ProfKabudInLondon,Angola,,Bujumbura,peacekeepers,RDC,Marathon,teambenin,GVS2020,EU,Covid19,COVID__19gmb,PeoplesVaccine,,africa,Paques2020,,Ethiopie,Budget2018,ConseildesministresSn,SENGBEPIEH,
33,COVID19,Malawi,COVID19,tourist,StaySafe,HIV,Incredible,RESTEZCHEZVOUS,Eritrea,COVID19,Africa,قطر,COVI19,القومة_للسودان,ProfKabudInLondon,M7Trek,,burundi,Chad,RDC,Gabon,wasexo,BurkinaFaso,CapeVerde,Covid19CI,Covid19gmb,COVID19,,GuinéeBissau,IBK,,Niger,PMBinMorocco,ConseilDesMinistresSn,NjalaUniversity,
34,COVID19,Malawi,WorldHealthDay2020,tourism,Eskom,Zambia,NWC2019,COVID19,Ethiopia,KomeshaCorona,AUReforms,Kenya,COVID19,ماشين_قدام,KenyattaInTanzania,AntiCorruptionWalk,,BurundiAt58,Mali,SommetChineAfrique,Justice,team229,BurkinaFaso,10years,Covid19,StopCovid,COVID19,,Lomé,COVID__19,,Niamey,PMBinMorocco,ConseilDesMinistresSn,SierraLeone,
35,COVID19,PresidentialSwearingIn,NamLockdown,FA4JR,COVID19,Zambia,Zimbabwe,COVID19DJ,Eritrea,KomeshaCorona,Australia,Kenya,Burundi,عاجل,Tanzania,ICPD25,,Burundi,PSC,RDC,Gabon,AskGouvBenin,Lwili,EU,COVID19,QuotesToRemember,RamadanMubarak,,GineeBissau,COVID__19,,Niger,Ramadan,ConseilDesMinistresSn,SierraLeoneans,
36,COVID19,Malawi,CoronaVirusNam,COVID19,DPRepliesToOralQuestions,ZambiaDHS,Zimbabwe,Djibouti,Eritrea,KomeshaCorona,IWD2017,somalia,COVID19,إعلام_مجلس_السيادة_الإنتقالي,TanzaniaInForbes,India,,Burundi,Terrorism,RDC,Gabon,PSIE,BurkinaFaso,CapeVerde,Covid19,Covid_19gmb,SpreadCalmNotFear,,UmaroSissocoEmbalo,IBK,,ArabieSaoudite,NotTooYoungToRun,ConseilDesMinistresSn,Republic,
37,COVID19,PresidentialSwearingIn,Nam30,FA4JR,NationalAssembly,Health_Ministers_Conference,LIVE,Djibouti,Eritrea,KomeshaCorona,IWD2017,Istanbul,Juba,السودان,TanzaniaUpdates,Uganda,,Burundi,CISSA,CitéUA,Gabon,MASM,lwili,Brussels,covid19,StopCovid19,StayAtHome,,Gambia,COVID__19,,Niger,Nigeria,ConseilDesMinistresSn,Sierra,
38,COVID19,PresidentialSwearingIn,NamInauguration,COVID19,LandReform,Lusaka,ZTN,Djibouti,Eritrea,KomeshaCorona,Umwiherero,Asmara,SouthSudan,تحديات_الحكومة,TanzaniaDestination,RussiaAfricaSummit,,COVID19,ACSRT,RDC,Gabon,MASM,BurkinaFaso,menosalcoolmaisvida,covid19,COVID19gmb,HumanityOverEconomy,,GuineeBissau,COVID__19,,NationsUnies,Nigeria,Pentecôte,,
39,COVID19,PresidentialSwearingIn,COVID19,FA4JR,DPRepliesToOralQuestions,pregnant,AfricaDay,CONDOLÉANCES,Eritrea,KomeshaCorona,Umwiherero,Somalia,juba,احتياطات_السودان_لمنع_كورونا,TTBTanzania,IAAFDoha2019,,Burundi,Hiroshima,Covid_19,Togo,Missèbo,lwili,Brasil,Covid19,Gambia,StayAtHome,,GuinéeBissau,COVID__19,,UNGA74,NotTooYoungToRun,Covid19,,
40,COVID19,PresidentialSwearingIn,OnlySWAPO,FA4JR,NationalAssembly,2019nCoV,Zimbabwe,COVID19,Eritrea,KomeshaCorona,Umwiherero,Eritrea,SouthSudan,COVID,PresidentTsisekediInDar,IAAFDoha2019,,Burundi,UN,RDC,Gabon,MASM,Covid19,CaboVerde,covid19,COVID19gmb,StayAtHome,,NDjamena,COVID__19,,CEDEAO,NotTooYoungToRun,ConseilDesMinistresSn,,
41,COVID19,PresidentialSweatingIn,EngageThePresident,COVID19,PaymentOfServices,2019nCoV,Zimbabwe,COVID19DJ,Eritrea,KomeshaCorona,merryChristmas,Cadaado,rtgonu,EqualforEqual,PresidentTsisekediInDar,CPC19,,Burundi,Resol1540,Condoleances,Ramadan,Missèbo,BurkinaFaso,Brazil,Covid19CI,COVID19GMB,SpreadCalmNotFear,,Cameroun,COVIDー19,,Ouagadougou,NotTooYoungToRun,ConseilDesMinistresSn,,
42,COVID19,MalawiHasDecided,OnlySWAPO,FA4JR,DPRepliesToOralQuestions,2019nCoV,ASRoma,Djibouti,Eritrea,KomeshaCorona,internet,Beijing,EAC,InternationalWomensDay,TanzaniaUpdates,WEFAfrica19,,Burundi,panamapapers,RDC,fetedutravail,Prbenin,BurkinaFaso,CapeVerde,ConseilDesMinistresCI,Gambia,Ghana,,Bissau,IBK,,BurkinaFaso,Nigeria,ConseilDesMinistresSn,,
43,COVID19,Malawi,NamYouth,Seychelles,NationalAssembly,CERVICALCANCER,UN,Djibouti,Eritrea,KomeshaCorona,education,FOCAC,COVID19,SudanUprising,TUNATEKELEZA2019,WEFAfrica19,,Burundi,RCA,Sankuru,Gabon,Wasexo,lwili,CaboVerde,Covid19,DidYouknow,StayAtHome,,Guineabissau,COVIDー19,,Zimbabwe,GovtAtWorkNG,ConseilDesMinistresSn,,
44,COVID19,MalawiDecides2020,OnlySWAPO,COVID19,GBVInterventions,Coronavirus,Zimbabwe,COVID19,Eritrea,KomeshaCorona,MontrealProtocolCountries,Ankara,Juba,HappyNewYear2020,RIPDrMengi,WEFAfrica19,,Burundi,centrafricain,RDC,Gabon,ConseilDesMinistres,Covid,Seychelles,COVID19,Covid19gm,Kumasi2020,,Africa,IBK,,TICAD7,ChildrensDay,KORITE2020,,
45,COVID19,FPE2020,2019SwapoCampaign,FA4JR,DPRepliestoOralQuestions,Coronavirus,EUinZim,COVID19DJ,Eritrea,KomeshaCorona,beingspeaker,Ankara,SouthSudan,HappyNewYear,DestinationTanzania,WEFAfrica19,,Burundi,TOUADERA,CiteUA,Gabon,ConseilDesMinistres,Covid19,CaboVerde,covid19,RamadanMubarak,ConsolidatingOurGains,,African,COVIDー19,,Yokohama,SecuringNigeria,EidMubarak,,
46,COVID19,MalawiDecides2020,OnlySWAPO,COVID19,NationalAssembly,coronavirus,WFP_Zimbabwe,StayatHome,Eritrea,KomeshaCorona,Rwanda,Arta,RTGoNU,MerryChristmas,TanzaniaUpdates,TICAD7,,Burundi,PSC,Rencontre,bois,Prbenin,BurkinaFaso,Seychelles,COVID19CI,COVID19,Kumasi2020,,Abuja,IBK,,Tokyo,AgriculturalRevolution,KORITE2020,,
47,COVID19,FPE2020,OnlySWAPO,FA4JR,NCC,StewardForTheFuture,UKAid,COVID19DJ,Eritrea,KomeshaCorona,plusOne,Arta,MoH,MerryChristmas,Health,TICAD7,,Burundi,AUC,PontAerienHumanitaire,FSC,Gouvbenin,InternationalNursesDay,Seychelles,COVID19,COVID19,Kumasi2020,,Nigeria,COVIDー19,,Afrique,Nigeria,EidMubarak,,
48,COVID19,MalawiDecides2020,UNGA74,Seychelles,DPRepliestoOralQuestions,antibiotics,CycloneIdai,COVID19,Eritrea,Inooro,HFD,Djibouti,SouthSudan,SudanUprising,Tanzania,TICAD7,,Burundi,URGENT,UE,FSC,Wasexo,lwili,Cabo,Gouvci,StayAtHome,Kumasi2020,,GuinéeBissau,IBK,,TICAD7,ICYMI,ConseilDesMinistresSn,,
49,COVID19,FPE2020,economy,COVID19,NationalAssembly,autism,WarriorsWin,Paludisme,Eritrea,Cooro,27thAnniversary,Djibouti,Coronavirus,HumanRightsDay,Rwanda,Musandamo,,Burundi,Maelbeek,RDC,Gabon,FonctionPubliqueBenin,Covid,G1,CICG,StopCOVID19,SOTN2020,,Bissau,COVIDー19,,AidMubarak,PMBInDC,ConseilDesMinistresSn,,
50,COVID19,MalawiDecides2020,UNGA74,FA4JR,Eskom,Goal,Zimbabwe,coronavirus,EritreaFightsCOVID19,Kameme,RedNose4Kids,Somalia,Juba,Sudan,afcon2019,Ntoroko,,Burundi,Brussels,CiteUA,Gabon,Gouvbenin,Covid,,Covid19,COVID19Gambia,SOTN2020,,AfricaPower,Legislatives2020,,AidAlAdha,PMBinDC,ConseilDesMinistresSn,,
51,COVID19,FPE2020,investors,Seychelles,COVID19,health,AUSummit,Djibouti,Eritea,Covid19,WEFAfrica2016,UnitedStates,SouthSudan,Sudan,Afcon2019,Bundibugyo,,Rwanda,Maelbeek,RDC,Chine,Wasexo,BurkinaFaso,,Covid19CI,StayAtHome,ObuasiGoldMineIsBack,,ImAfrican,IBK,,AidElKebir,ChibokGirls,ConseilDesMinistresSn,,
52,COVID19,MalawiDecides2020,invest,iprights,StaySafe,ICPD25,Zimbabwe,Djibouti,USA,COVID19,Africa,IndependenceDay2018,SSOT,SRGCON2019,TanzaniaUpdates,FortPortal,,Burundi,AU,CiteUA,Chine,JeuTombolaDGI,Lwili,,CoronavirusCI,StopCovid19,4More4Nana,,Sénégal,COVIDー19,,Niger,ChibokGirls,ConseilDesMinistresSn,,
53,COVID19,FPE2020,India,FA4JR,PlayYourPart,MentalHealth,Harare,COVID19,Eritrea,COVID19Kenya,AF16,July4th,Coronavirus,SRGCON2019,TanzaniaUpdates,VisitUganda,,BurundiPoliceAlert,Burundi,JeanPaulMukoloNkokesha,FOCAC2018,FeteDeLaMusique2020,EUCO,,COVID19CI,CoronavirusPreventionCampaign,4MoreToDoMore,,Umaro,IBK,,Zlecaf,Highlights,Covid19,,
54,COVID19,MalawiDecides2020,UNGA74,Seychelles,COVID19,globalgoals,Zimbabwe,COVID19,Eritrea,singout,Rwanda,Daljirka_daahsoon,Juba,Sudan,TanzaniaUpdates,M7WealthCreationTour,,Burundi,PSC,RDC,Tabaski,FeteDeLaMusique2020,G5Sahel,,COVID19,COVID__19,OneConstituencyOneAmbulance,,Sissoco,COVIDー19,,ZLECAf,AsoVillaWeekly,ConseilDesMinistresSn,,
55,COVID19,FPE2020,India,didyouknow,PlayYourPart,BeatNCDs,Switzerland,COVID19,Eritrea,kenyapamoja,AF16,Somalia,SouthSudan,NobelPrize,AirTanzania,M7WealthCreationTour,,Burundi,instantané,PalaisDuPeuple,Gabon,ConseilDesMinistres,G5Sahel,,COVID19CI,Gambia,PromiseDelivered,,Embaló,IBK,,CEDEAO,video,ConseilDesMinistresSn,,
56,COVID19,MalawiDecides2020,NASA,intellectualproperty,StaySafe,HealthForAll,Zimbabwe,Djibouti,Eritrea,stopthespread,RIPMamaLucy,Daljirka_daahsoon,SSOT,Ethiopia,Zimbabwe,AFCON2019,,Burundi,AFP,TaskForce,Annan,Wasexo,Covid_19,,COVID19,COVID2019,4MoreToDoMore,,guineabissau,COVIDー19,,CEDEAO,AfCFTA,ConseilDesMinistresSn,,
57,COVID19,FPE2020,SadcSummit2019,workers,SupplementaryBudget,AIDS,Zimbabwe,France,Eritrea,covid_19ke,wef,Belgian,RTGoNU,Sudan,Zambia,AFCON2019,,Burundi,AFP,RDC,Gabon,Prbenin,G5Sahel,,COVID19,COVID19,PromiseDelivered,,Africa,COVIDー19,,IBK,Nigeria,ConseilDesMinistresSn,,
58,COVID19,MalawiDecides2020,IgniteHope,Seychelles,SupplementaryBudget,Malnutrition,Zimbabwe,COVID19,Eritrea,COVID19,Rwanda,SNA,Polyanskiy,UNGA,TanzaniaUpdates,AFCON2019,,Suisse,SuperSaturday,CiteUA,CEEACEDEAO,ConseilDesMinistres,UE,,ConseilDesMinistresCI,StayAtHome,OneConstituencyOneAmbulance,,Embalo,COVIDー19,,Ramadan,DapchiGirls,Covid19,,
