,@Trevornoah,@GarethCliff,@SAPresident,@News24,@Julius_S_Malema,@helenzille,@mailandguardian,@5FM,@loyisogola,@Computicket,@MTVbaseAfrica,@OfficialCSA,@UlrichJvV,@euphonik,@BBCAndrewH,@Camfed,@BobSkinstad,@SamsungSA,@liveamp,@hartleyr,@SmithInAfrica,@gertjohan,@_AfricanUnion,@SandtonCity,@ParliamentofRSA,@Mo_IbrahimFdn,@NDOCKenya,@PeterGreste,@JendayiFrazer,@art2gee,@IECSouthAfrica,@forbesafrica,@Entrepreneur_SA,@geoffreyyork,@HenleyAfrica,@IFCAfrica,@africaprogress,@MbuyiseniNdlozi,@FoodBlogCT,@AfricaResearch,@MadeItInAfrica,@cnbcafrica,@willintune,@AfricaGoodNews,@ThinkAfricaFeed,@CityofJoburgZA,@theafricareport,@schneiderhome,@TheStar_news,@rangerdiaries,@daniel_howden,@Aynte,@GautengProvince,@TechCentral,@africamedia_CPJ,@savetherhino,@mary_harper,@okayafrica,@africagathering,@MercedesBenz_SA,@ayittey,@cx73,@africatechie,@Hamza_Africa,@ONEinAfrica,@audisouthafrica,@thisisafrica,@jaxpanik,@forbeesta,@t_mcconnell,@equal_education,@mikestopforth,@iamsuede,@JamalMOsman,@KahnMorbee,@artsouthafrica,@malonebarry,@InvestInAfrica,@TheEIU_Africa,@sarzss,@VISI_Mag,@BrendanSAfrica
10,LoudAndClearTour,Covid19,,LoadShedding,PJPARTYWITHDJZINHLE,Lockdown,Ethiopia,ForbesAndFix,WOLARS,SARIEGESELS,MTVbaseLounge,SolidarityCup,MandelaDay,eunite947,,WeekendReading,coronacoaster,1lifePulseWithSamsung,SAFTAs14,ThysWienekus,,MissSA2019,AfricaAgainstCorruption,unmaskingGJC,Parliament,COVID19,COVID19,APAC,COVID19,SocialMedia,SmartID4Matrics,YouthDay,Entrepreneurship,coronavirus,Leadership,CôtedIvoire,DYK,PutSouthAfricansFirst,DarlingBrewWoodstock,Burundi,Ethiopia,CNBCSpecial,defilement,entrepreneur,westernsahara,MandelaDay2020,pandemic,GE2017,MandelaDay,newspecies,Denmark,الصين,COVID19,,,Covid19,Somalia,YouthDay,AllLivesMatter,GLE,Eritrea,BuffelsBaai,14juillet,Kamerhe,PassTheMic,audiR8,,problemsolved,EnglandvCroatia,coronavirus,NGOJobs,DigitalTransformation,SoAugust,America,wuma,LoveOfArt,Yemen,Africa,Forecast,PrinceHarry,VISIArt,10xDMGathering
11,LoudAndClearTour,SoWhatNow,,Covid19inSA,IPHCChurchhostage,DAFedex,SafeHands,WhosMoreLikely,WOLARS,SARIEGESELS,MTVBaseLounge,BlackLivesMatter,Siblings,euNITE947,,BTEC,entrepreneurs,InsuranceMeetsTech,LiveAMP,VBS,,VDJ2019,AUEUMeetUp,WitneyRamabulana,NationalAssembly,WorldPopulationDay,KomeshaCorona,JournalismIsNotACrime,healthworkers,TheMoneyShow,Byelections,Madagascar,entrepreneurs,HIV,Effectiveness,Nairobi,agricultural,SAMA26,HoutBayManor,Nkurunziza,education,CNBCSpecial,COVID19,Africa,agribusiness,SaferJoburg,Africa,coronavirus,MandelaDay,conservation,COVID19,Africa,Masuku,,,COVID,Ethiopian,GrenfellTower,CoronaWarriors,AutoTraderCOTY2020,génération,RedBridge,MotivationMonday,BREAKING,COVID19,R8,,NeverGetsOld,ComeOnEngland,coronavirus,JobSeekers,entrepreneur,Sexologywithshan,Ethiopia,adultlearning,Painting,BLM,JSE,Awards,RIPUyinene,PicksOfTheWeek,10xDMGathering
12,DemDebate,SoWhatNow,,CoronavirusSA,ZondoCommission,Day52ofLockdown,Uganda,UnpopularOpinion,EPL,INbly,MTVBaseBirthday,BlackLivesMatter,SABCWeather,euNITE947,,COVIDー19,headteachersreallife,QLEDTVs,LiveAMP,Malawi,,STGenNext2019,1mBy2021,CottonOn,Parliament,COVID19,MEWeekKE2019,DefendPressFreedom,COVID19,socialmedia,COVID,ICYMI,Dream,COVID19,StoriesofAfrica,IFCHerHome,honest,COVID19,MarrowBroth,Mozambique,Uganda,CNBCSpecial,MalawiDecides2020,WBGFellowship,Africa,JoburgEnterprises,Ethiopia,r4today,MandelaDay,art,Italy,refugees,COVID19,,,RhinoCovid19Crisis,Ethiopia,GeorgeFloyd,lockdown,COVID19,africains,Knysna,MotivationalQuotes,Somalia,COVID19,audiA6,,bmth,tearsbeforebedtime,Tanzania,SouthAfrica,STUDYONLINE,RootsPicnic,Somalia,mba,Inspiration,Yemen,Kenya,brent,Ebola,VISIDecor,10XDMGathering
13,DemDebate,100daysoflockdown,,ZindziMandela,COVID19,PANDA,COVID19,MidMorningsOn5,AnimalsStogie,DinnerTimeStories,MTVBaseLounge,BLM,MorningLive,euNITE947,,Ghana,DateForTheDiary,SisonkeWithGalaxy,LiveAMP,Malawians,,ComeDineSA,AfricaIntegrationDay,IconicSandton,Zlist,COVID19,DRR,HoldTheLine,coronavirus,TheMoneyShow,Africa,TRENDING,Work,COVID19,ExclusiveBooks,FinancialInstitutions,energy,COVID19,NonnaLinaCT,displacement,Entrepreneur,CNBCSpecial,BREAKING,ShareSouthAfrica,Nairobi,JoburgCares,Oromia,r4today,MandelaDay,birdlife,Gulzar,Ethiopia,Masuku,,,tech4wildlife,Sidama,Nollywood,DominicCummingsMustGo,FlattenTheCurve,Mon,Knysna,womenintech,Uganda,ONEheadlines,audisouthafrica,,badcombos,ENGCOL,coronavirus,EE,Digital,RootsPicnic,British,Henleyalumni,Retweet,SomaliaTurns60,Commodities,Angola,emergency,PicksOfTheWeek,10XDMGathering
14,LoudAndClearTour,SoWhatNow,,Covid19inSA,PravinGordhan,JohnSpeaksForMe,Covid19,GoodeMorning,BHAMUN,LePetitChef,StayHome,Equality,SABCNews,lockdownnokhozifm,,UKaid,muchrespect,Empowerment,LiveAMP,polls,,SAMA25,1mby2021,CottonOn,NCOP,ReLaunchingAfrica,DRRday,JournalismIsNotACrime,democracy,TheMoneyShow,Level4,Madagascar,Achieve,Mali,books,HousingFinance,education,Loadshedding,MushroomSA,Berbera,agriculture,MandelaDay,Covidgate,Each1Feed1,Slums,JoburgVacancies,GERD,NovaraFM,MandelaDay,birds,BordersNewsroom,UN,Lesufi,,,donation,DRC,BlackLivesMatter,DailyBriefings,StayHome,Africa,ForestMarathon,financement,Kenya,Ebola,audiQ3,,justsaying,RHSChelsea,Congo,NGOJobs,COYS,june16,BLM,HenleyAfrica,Creativity,SayHerName,Johannesburg,Mozambique,Ebola,VISIDesign,TKLB
15,BetweenTheScenes,CliffCentralCreative,,Covid19SA,MojaLove,johnspeaksforme,cyrilramaphosa,Day112ofLockdown,FACup,DinnerTimeStories,StayHome,3TCricket,MondayMotivation,lockdownnokhozifm,,TogetherWeCan,Knife10x,Samsung,LiveAMP,election,,ComeDineSA,AUEUMeetUp,HPStore,NCOP,MIFScholar,DRRday,HoldTheLine,MIFBoard,SocialMedia,CoronaVirusinSA,Madagascar,entrepreneur,COVID19,reading,COVID19,Africa,Eskom,HarringtonsCocktailLounge,Ethiopia,Mali,DStv410,globalnewspod,COVID19SouthAfrica,Africa,ReaVaya,Mali,Berniesback,MandelaDay,surrogate,MigrationNewsroom,Ethiopia,COVID19,,,RhinoCovid,UurHooyo,JusticeForBreonna,covid19,TheBestOrNothing,Liberia,LakeBrenton,startup,Tanzania,ONEChampions,Q3,,justsaying,RHSChelsea,Virunga,JobSeekers,TOTWHU,ObamaDay,London,WatchThisSpace,NAF16,Somalia,BRVM,SSA,Uganda,VISIDesign,section25
16,MatchInAfrica,SoWhatNow,,Covid19SA,BREAKING,JohnSpeaksForMe,cyrilramaphosa,GoodeMorning,NORMUN,LePetitChef,TBT,RainsMakesPlay,SaturdayThoughts,FreshOn947,,ClimateAction,SportingHeritage,Airconditioners,LiveAMP,southafrica,,TSAon3,1mby2021,Samonite,NCOP,ReLaunchingAfrica,DRRday,pressfreedom,MIFAddis,SASocial2020,Covid19SA,ForbesAfrica,MotivationMonday,Ethiopia,booklover,TradeFinance,DYK,ColonialStatuesMustFall,MarrowBroth,Kenya,COVID19,CNBCAfrica,BBCAfricaEye,Ghana,Film,COVID__19,Paris,Tanzania,TheStarNews,mother,coronavirus,HachaluHundessa,Lesufi,,,WorldHeritage,Hudeidi,BlackLivesMatter,COVID19,Laureus20,Paulbiya,Knysna,ZEROMACABO,GeorgeFloyd,ONEChampions,audisouthafrica,,TenUnite,WorldPressFreedomDay,Sudan,SouthAfrica,COYS,ObamaDayJune14th,Oromo,BehindTheScenes,best10days,archive,Malawi,coronavirus,ebola,VISIWin,landexpropriation
17,MatchInAfrica,BurningPlatform,,Covid19SA,COVID19,CheckYourPrivilege,vNAF2020,GoodeMorning,GautengCares,DinnerTimeStories,ThrowbackThursday,SolidarityCup,Pretoria,947MixAt6,,ClimateSolutions,buffalo,StayHome,LiveAMP,Malawi,,TSAonline,AUEUMeetUp,OceanBasket,Zlist,AUEUMeetUp,DRR,JournalismIsNotACrime,WeAreNigerianCreatives,schoolsreopening,Covid_19SA,BlackOutTuesday,BeProductive,MASKUP,bookclub,COVID19,DidYouKnow,SABCNews,NonnaLinaCT,Mozambique,Ethiopia,COVID19,BlackLivesMatter,Day20ofLockdown,Malawi,JoburgBudget20,FunFact,RichList2018,LoveIsNotTourism,Brazil,bordersnewsroom,Ethiopia,GAUTENGCOVID19,,,Kaziranga,KahortagaCorona,BreonnaTaylor,COVID19,MatchInAfrica,Cameroon,OysterFestival,Acte8,JusticeForGeorgeFloyd,Covid19,audiA7,,falloutboy,BBCPersian152,SouthAfrica,9MillionMeals,PfPBook,TeamChappelle,Ethiopia,LetItBurn,KOF2016,BLM,Kenya,coronavirus,nothing,DI2020,media
18,MatchInAfrica,SoWhatNow,,Covid19SA,COVID,leadership,Malawi,GoodeMorning,laliga,DinnerTimeStories,MTVBaseLounge,SolidarityCup,clouds,FreshOn947,,WednesdayWisdom,OTD,SisonkeWithGalaxy,LiveAMP,Orwell,,FashionsFinestAfrica2019,1mby2021,Freddy,Parliament,COVID19,Isiolo,RNDrive,Rwanda,COVID19,Ramaphosa,Madagascar,NewProfilePic,Ethiopia,library,Ghana,agricultural,COVID19,coffee,Mocambique,Ethiopia,DStv410,Paraguay,ECafrica,OnePartyPlanet,JoburgWebsite,Kenya,Italianelections2018,ZindziMandela,mining,BordersNewsroom,Egypt,COVID19SA,,,TakeYourDogToWorkDay,AlShabaab,GeorgeFloyd,Africa,UnrivalledAMG,Eritrea,Run,Afrilabs,coronavirus,PassTheMic,A7,,whatalegend,wildlife,coronavirus,SchoolMealsNow,impinv,DatRona,Ethiopian,MixDrive,Art,SayHerName,Kenya,cotedivoire,ebola,DI2020,news
19,MatchInAfrica,SoWhatNow,,Covid19SA,PutSouthAfricansFirst,WorkersDay,Malawi,FridayEve,COYG,MatchInAfrica,MTVBaseLounge,3TCricket,AllmeansALL,947MixAt6,,UKaid,buffalo,HirschsHomestore,LiveAMP,Kafka,,GertJohanCoetzee,AUEUMeetUp,CalmCollection,Zlist,IndependenceDay,County,TheWrap,education,pandemic,21daysLockdownSA,Mauritius,Agrizi,Tanzania,business,COVID19,commerce,ZindziMandela,enthusiasts,Mozambique,Zimbabwe,CNBCConversation,blacklivesmatter,Lockdown,Neoliberal,Madiba,Mali,elezione2018,TheStarNews,amazon,BordersNewsroom,Sudan,COVID19,,,Covid19,globalnewspod,JusticeForTshegoPule,COVID19,UnrivalledAMG,Amhara,KabeljauwsBeach,innovators,Zambia,PassTheMic,audisouthafrica,,hello,InternationalWomensDay,Kenya,MandelaDay2020,innfin,staywoke,HaacaaluuHundessaa,mosstuffafrika,Sketching,Yemen,Nigeria,Ouattara,EarthDay,DI2020,DavidGoldblatt
