,hashtag,mention
184,ThorisoThemane,BISouthAfrica
185,TaxisInWesternCape,arts24_sa
186,TaxisInWesternCape,Wheels24
187,LongDistanceTravel,Wheels24
188,MTNTaxiRank,ina_gouws
189,BreeTaxiRank,TammyPetersen87
190,BreeTaxiRank,BISouthAfrica
191,BreeTaxiRank,Channel24
192,ICYMI,MMkhabel
193,BigSunday,BISouthAfrica
194,BigSunday,City_Press
195,BigWeatherWeekend,BISouthAfrica
196,CAPESTORM,BISouthAfrica
197,PODCAST,TeamNews24
198,Covid19SA,Fin24
199,SupraMustfall,W24_SA
200,GenderBasedViolence,TeamNews24
201,Eskom,ntwaagae
202,Eskom,GroundUp_News
203,SOEs,CebohNyambose
204,NCCC,Fin24
205,lockdown,BISouthAfrica
206,WesternCapeCOVIDUpdate,food24
207,WesternCapeCOVIDUpdate,BISouthAfrica
208,WesternCapeCovidUpdate,Wheels24
209,VBSMalema,Health24com
210,landinvasions,Fin24
211,VBSMalema,BISouthAfrica
212,VBSMalema,Fin24
213,VBSMalema,Channel24
214,WesternCapeCovidUpdate,arts24_sa
215,VBSMalema,KwelaBooks
216,WesternCapeCovidUpdate,Health24com
217,MalemaVBS,Fin24
218,WesternCapeCOVIDUpdate,BISouthAfrica
219,landinvasions,food24
220,landinvasions,Sesona_Ngqaks
221,landinvasions,TeamNews24
222,TeachersProtestInCapeTown,GumedeZandileRT
223,landinvasions,kaveels
224,TeachersProtestInCapeTown,GumedeZandileRT
225,TeachersProtestInCapeTown,ntwaagae
226,landinvasions,Parent24
227,TeachersProtestInCapeTown,Fin24
228,landinvasions,Wheels24
229,landinvasions,BISouthAfrica
230,landinvasions,kaveels
231,SupplementaryBudget,eThekwiniM
232,SupplementaryBudget,BISouthAfrica
233,SupplementaryBudget,BISouthAfrica
234,SupplementaryBudget,TeamNews24
235,SupplementaryBudget,Fin24
236,SupplementaryBudget,BISouthAfrica
237,SupplementaryBudget,Channel24
238,SupplementaryBudget,BISouthAfrica
239,SupplementaryBudget,BISouthAfrica
240,SupplementaryBudget,BISouthAfrica
241,SupplementaryBudget,TeamNews24
242,SupplementaryBudget,tshidi_lee
243,SupplementaryBudget,TeamNews24
244,SupplementaryBudget,BISouthAfrica
245,SupplementaryBudget,Channel24
246,SupplementaryBudget,GroundUp_News
247,SupplementaryBudget,Wheels24
248,SupplementaryBudget,BISouthAfrica
249,SupplementaryBudget,Fin24
250,SupplementaryBudget,BISouthAfrica
251,SupplementaryBudget,Fin24
252,SupplementaryBudget,BISouthAfrica
253,SupplementaryBudget,Fin24
254,SupplementaryBudget,Sesona_Ngqaks
255,SupplementaryBudget,Sport24news
256,SupplementaryBudget,lionsofficial
257,SupplementaryBudget,Springboks
258,SupplementaryBudget,Wheels24
259,SupplementaryBudget,Wheels24
260,SupplementaryBudget,BISouthAfrica
261,SupplementaryBudget,Fin24
262,Budget2020,food24
263,lockdownregulations,arts24_sa
264,lockdownregulations,Parent24
265,lockdownregulations,Wheels24
266,TBTChallenge,Fin24
267,SAMA26,BISouthAfrica
268,Loadshedding,Sport24news
269,Eskom,Sbu_Mjikeliso
270,EFFTurns7,AlexMitchley
271,EFFOnlineStore,YouMagazine
272,cyrilramaphosa,Health24com
273,alcoholmustfall,kaveels
274,IMMEDIATE,W24_SA
275,EFFTurns7,Health24com
276,PJPARTYWITHDJZINHLE,BraGrobbies
277,IPHCChurchhostage,Sport24news
278,ZondoCommission,LloydBurnard
279,COVID19,WitnessKZN
280,PravinGordhan,News24
281,MojaLove,Health24com
282,BREAKING,Sesona_Ngqaks
283,COVID19,Wheels24
284,COVID,Health24com
285,PutSouthAfricansFirst,BISouthAfrica
286,PTArape,Parent24
287,ThrowBack,TeamNews24
288,EFFTurns7,SadtuNational
289,Covid_19,BISouthAfrica
290,RIPWelcomeMsomi,TeamNews24
291,OccupyCliftonBeach,SadtuNational
292,LockdownSA,TeamNews24
293,BlackLivesMatter,SadtuNational
294,Covid19,JasonFelix
295,IGSessionsWithTumiSole,Channel24
296,vbsbankheist,Wheels24
297,JusticeForThorishoThemane,Sport24news
298,JusticeForThorisho,Sbu_Mjikeliso
299,SACP,NathiMthethwaSA
300,HelenZille,MandyWiener
301,ProudAfrican,BISouthAfrica
302,EFF,BISouthAfrica
303,Gautenglegislature,Wheels24
304,EFF,BISouthAfrica
305,Gautenglegislature,Fin24
306,LockdownHouseParty,Channel24
307,EFFMediaTrial,Fin24
308,JuliusMalema,Health24com
309,VBSMalema,BISouthAfrica
310,Uyandazi,NoncebaMhlauli
311,JuliusMalema,Wheels24
312,JuliusMalema,GroundUp_News
313,PutSouthAfricansFirst,Health24com
314,Orania,J_chabalala
315,EFFOneWay,J_chabalala
316,StrongerTogether,BISouthAfrica
317,TaxiShutdown,Health24com
318,BlackMonday,BISouthAfrica
319,FreePalestine,Wheels24
320,JoinEFFOnline,TeamNews24
321,Taxistrike,TeamNews24
322,DeKlerkMustFall,TeamNews24
323,LovingThokoza,tshidi_lee
324,EFFRedFriday,TeamNews24
325,JerusalemaRemix,TeamNews24
326,BurnaBoy,TeamNews24
327,POWERTurns7,TeamNews24
328,publicworks,TeamNews24
329,COVID19inSA,tshidi_lee
330,VBSArrests,Wheels24
331,GBV,CyrilRamaphosa
332,Women,TeamNews24
333,VBSArrests,TeamNews24
334,VBS,TeamNews24
335,67minutes,TeamNews24
336,COVID__19,TeamNews24
337,EndHighSchoolInSawa,BISouthAfrica
338,Eritrea,TeamNews24
339,Covid19,TeamNews24
340,ServiceDelivery,gerbjan
341,SouthAfrica,TeamNews24
342,Covid19,Health24com
343,EducationMatters,RobHouwing
344,Ethiopia,Fin24
345,SafeHands,Parent24
346,Uganda,Health24com
347,COVID19,Herman_Mostert
348,Covid19,Channel24
349,cyrilramaphosa,oh_mokwena
350,cyrilramaphosa,Wheels24
351,vNAF2020,Channel24
352,Malawi,BISouthAfrica
353,Malawi,BISouthAfrica
354,Mali,Wheels24
355,SouthSudan,BISouthAfrica
356,SouthSudan,BISouthAfrica
357,Burundi,MurrayRSA
358,bolsonarocovid,TeamNews24
359,Trump,TeamNews24
360,kanyewest2020,tshidi_lee
361,Tanzania,TeamNews24
362,SouthSudan,TeamNews24
363,SouthSudan,TeamNews24
364,COVID19,TeamNews24
365,COVID19,TeamNews24
366,Malawi,TeamNews24
367,EducationMatters,TeamNews24
368,SAA,TeamNews24
369,COVID19,TeamNews24
370,envhist,TeamNews24
371,EnvHum,TeamNews24
372,environmentalism,tshidi_lee
373,africanreads,TeamNews24
374,africanstories,tshidi_lee
375,newnarratives,TeamNews24
376,Covid,TeamNews24
377,BlackLivesMatter,TeamNews24
378,UIF,TeamNews24
379,evictions,TeamNews24
380,policebrutality,TeamNews24
381,houtbay,TeamNews24
382,salockdown,TeamNews24
383,BlackLivesMatter,TeamNews24
384,RhodesMustFall,tshidi_lee
385,FeesMustFall,TeamNews24
386,Sassa,TeamNews24
387,UIF,Sport24news
388,BhekiCele,BISouthAfrica
389,saps,BISouthAfrica
390,PoliceBrutality,Health24com
391,IfIWasAPresident,BISouthAfrica
392,SPONSORED,BISouthAfrica
393,Covid19,Health24com
394,BigData,food24
395,WestAfrica,CannyMaphanga
396,EducationMatters,BISouthAfrica
397,AuditorGeneral,Health24com
398,COVID19,Wheels24
399,GDP2020,Wheels24
400,COVIDー19,Wheels24
401,Zambia,Health24com
402,police,BISouthAfrica
403,SCHOOLMEALSNOW,Channel24
404,M7,bparks
405,Malawi,Wheels24
406,BlackLivesMatter,Fin24
407,Mozambique,Health24com
408,BlackLivesMatter,Sport24news
409,SupplementaryBudget,BISouthAfrica
410,IMF,BISouthAfrica
411,Africa,Sport24news
412,webinar,Sport24news
413,Malawi,Sport24news
414,COVID19,CTMarathon
415,education,Wheels24
416,SupplementaryBudget,Health24com
417,SupplementaryBudget,Sport24news
418,SupplementaryBudget,Wheels24
419,SupplementaryBudget,BISouthAfrica
420,Malawi,BISouthAfrica
421,COVID19,Health24com
422,Covid19InSA,Health24com
423,SAA,BISouthAfrica
424,Africa,City_Press
425,Malawi,W24_SA
426,Covid19SA,Sport24news
427,SatanicChurch,Health24com
428,SatanicChurch,Fin24
429,Africa,TeamNews24
430,BlowUpOrCave,TeamNews24
431,Covid19,TeamNews24
432,economiccrisis,TeamNews24
433,Webinar,ntwaagae
434,COVID19,Health24com
435,COVID19,Sport24news
436,COVID19,Fin24
437,BusiMhlongo,Wheels24
438,BlackLivesMatter,BISouthAfrica
439,lockdown,BISouthAfrica
440,RhodesMustFall,nickymccain
441,VBSArrests,BISouthAfrica
442,DNR20,BISouthAfrica
443,COVID19,Fin24
444,BlackLivesMatter,W24_SA
445,ForbesAndFix,BraGrobbies
446,UnpopularOpinion,Sport24news
447,MidMorningsOn5,pejames
448,NewMusicFriday,BISouthAfrica
449,NewMusicFriday,BISouthAfrica
450,BraaiJuly,Channel24
451,ForbesAndFix,nickymccain
452,WhosMoreLikely,Sport24news
453,UnpopularOpinion,W24_SA
454,MidMorningsOn5,Health24com
455,GoodeMorning,W24_SA
456,Day112ofLockdown,News24
457,GoodeMorning,W24_SA
458,GoodeMorning,BISouthAfrica
459,GoodeMorning,BISouthAfrica
460,FridayEve,Fin24
461,InTheMix,Health24com
462,5Drive,Health24com
463,ForbesAndFix,W24_SA
464,UnpopularOpinion,Wheels24
465,MidMorningsOn5,BISouthAfrica
466,GoodeKarma,Wheels24
467,WCW,Sport24news
468,GoodeMorning,Health24com
469,5DriveTime,Wheels24
470,GoodeMorning,BISouthAfrica
471,InTheMix,BISouthAfrica
472,ForbesAndFix,TeamNews24
473,YoungLove5,food24
474,BestIEverHad,TeamNews24
475,alcoholban,Wheels24
476,UnpopularOpinion,TeamNews24
477,GoodeMorning,TeamNews24
478,GoodeMorning,JasonFelix
479,5FMBrainTeaser,BISouthAfrica
480,LiveAtNight,BISouthAfrica
481,5Drive,food24
482,Alcoholban,Sport24news
483,alcoholban,Wheels24
484,5Drive,TeamNews24
485,ForbesAndFix,TeamNews24
486,MidMorningsOn5,TeamNews24
487,UnpopularOpinion,Wheels24
